name
Kingfisher - Strong
Kingfisher - Mild
Kingfisher - Storm
Kingfisher - Ultra
Kingfisher - Ultra Max
London Pilsner - Strong
London Pilsner - Mild
Cannon
Heineken
Budweiser
Budweiser - Magnum
Haywards - 2000
Foster
Beck's Ice
Corona
7 Rivers - Veere
7 Rivers - Machaa
Carlsberg
Carlsberg - Elephant
